source,text,created_at,retweet_count,favorite_count,is_retweet,id_str,text_cleaned,emotional_state
Twitter for iPhone,The military drills or war games as I call them were never even discussed in my mtg w/ Kim Jong Un of NK—FAKE NEWS! I made that decision long ago because it costs the U.S. far too much money to have those “games” especially since we are not reimbursed for the tremendous cost!,3/4/19 19:53,19171,86701,False,1.1e+18,military drills war games call never even discussed mtg w kim jong un nk fake news made decision long ago costs u far much money games especially since reimbursed tremendous cost,"[[[0.25   0.844  0.608  0.827 ]
  [0.5    0.6925 0.4805 0.685 ]
  [0.     0.     0.     0.    ]
  [0.5    0.209  0.801  0.801 ]
  [0.25   0.844  0.608  0.827 ]
  [0.     0.     0.     0.    ]
  [0.25   0.844  0.608  0.827 ]
  [0.25   0.844  0.608  0.827 ]]]"
Twitter for iPhone,FEMA has been told directly by me to give the A Plus treatment to the Great State of Alabama and the wonderful people who have been so devastated by the Tornadoes. @GovernorKayIvey one of the best in our Country has been so informed. She is working closely with FEMA (and me!).,3/4/19 16:17,16505,77277,False,1.1e+18,fema told directly give plus treatment great state alabama wonderful people devastated tornadoes one best country informed working closely fema,"[[[0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [1.    0.971 0.776 0.83 ]
  [0.    0.    0.    0.   ]
  [1.    0.971 0.776 0.83 ]
  [1.    0.971 0.776 0.83 ]]]"
Twitter for iPhone,FEMA has been told directly by me to give the A Plus treatment to the Great State of Alabama and the wonderful people who have been so devastated by the Tornadoes. @GovIvey one of the best in our Country has been so informed. She is working closely with FEMA (and me!).,3/4/19 14:52,7124,31575,False,1.1e+18,fema told directly give plus treatment great state alabama wonderful people devastated tornadoes one best country informed working closely fema,"[[[0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [1.    0.971 0.776 0.83 ]
  [0.    0.    0.    0.   ]
  [1.    0.971 0.776 0.83 ]
  [1.    0.971 0.776 0.83 ]]]"
Twitter for iPhone,RT @GOPChairwoman: I completely agree with Kevin McCarthy.…,3/4/19 3:24,15547,0,True,1.1e+18,rt completely agree kevin mccarthy,"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
Twitter for iPhone,To the great people of Alabama and surrounding areas: Please be careful and safe. Tornadoes and storms were truly violent and more could be coming. To the families and friends of the victims and to the injured God bless you all!,3/4/19 3:10,19640,104542,False,1.1e+18,great people alabama surrounding areas please careful safe tornadoes storms truly violent could coming families friends victims injured god bless,"[[[0.16666667 0.112      0.918      0.616     ]
  [0.5        0.78       0.40133333 0.658     ]
  [0.16666667 0.112      0.918      0.616     ]
  [0.5        0.31766667 0.70533333 0.60133333]
  [0.5        0.86166667 0.36433333 0.74433333]
  [0.16666667 0.083      0.68       0.302     ]
  [0.16666667 0.112      0.918      0.616     ]
  [0.5        0.86166667 0.36433333 0.74433333]]]"
Twitter for iPhone,And also illegally leaking to Fake News CNN &amp; others? https://t.co/GAItdhWniB,3/4/19 1:28,19786,69250,False,1.1e+18,also illegally leaking fake news cnn amp others,"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
Twitter for iPhone,Schumer &amp; the Democrats are hurting our Country. Senate Republicans must take BOLD ACTION! https://t.co/QFqCaYmVPJ,3/4/19 1:24,20595,71797,False,1.1e+18,schumer amp democrats hurting country senate republicans must take bold action,"[[[0.5   0.153 0.778 0.221]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.5   0.153 0.778 0.221]
  [0.    0.    0.    0.   ]
  [0.5   0.153 0.778 0.221]
  [0.    0.    0.    0.   ]
  [0.5   0.49  0.349 0.836]]]"
Twitter for iPhone,RT @MZHemingway: Man conservatives haven’t been this united on Twitter since the Kavanaugh confirmation!,3/4/19 1:20,10645,0,True,1.1e+18,rt man conservatives united twitter since kavanaugh confirmation,"[[[0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [1.     0.7965 0.4555 0.7375]]]"
Twitter for iPhone,RT @ChatByCC: @realDonaldTrump President Trump made America great again! #MAGA Now it’s up to us to help him keep America great. #KAG#T…,3/4/19 1:08,9490,0,True,1.1e+18,rt president trump made america great maga us help keep america great kag,"[[[0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.5   0.64  0.716 0.898]
  [0.5   0.677 0.622 0.973]]]"
Twitter for iPhone,RT @rcale1776: Jon Stewart “Listen up everybody the Trump Justice Dept is doing an excellent job administrating the 911 compensation act”…,3/4/19 1:07,19615,0,True,1.1e+18,rt jon stewart listen everybody trump justice dept excellent job administrating 911 compensation act,"[[[0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.33333333 0.97       0.587      0.87      ]
  [0.         0.         0.         0.        ]
  [0.33333333 0.64       0.716      0.898     ]
  [0.66666667 0.865      0.5625     0.8285    ]]]"
